¤é´Á,¦a°Ï,½T¶E¤H¼Æ,ªvÂ¡¤H¼Æ,¦º¤`¤H¼Æ,·s¼W½T¶E,·s¼WªvÂ¡,·s¼W¦º¤`,²{¦³½T¶E,ÂX´²«ü¼Æ
2020/2/21,¥P®ç,571,231,19,3,21,0,321,0.008849558
2020/1/21,«wÉr,0,0,0,0,0,0,0,0
2020/1/22,«wÉr,0,0,0,0,0,0,0,0
2020/1/23,«wÉr,0,0,0,0,0,0,0,0
2020/1/24,«wÉr,0,0,0,0,0,0,0,0
2020/1/25,«wÉr,43,0,0,43,0,0,43,0
2020/1/26,«wÉr,64,0,0,21,0,0,64,0.488372093
2020/1/27,«wÉr,91,0,0,27,0,0,91,0.421875
2020/1/28,«wÉr,112,0,0,21,0,0,112,0.230769231
2020/1/29,«wÉr,130,0,0,18,0,0,130,0.160714286
2020/1/30,«wÉr,166,0,0,36,0,0,166,0.276923077
2020/1/31,«wÉr,206,1,0,40,1,0,205,0.240963855
2020/2/1,«wÉr,246,1,0,40,0,0,245,0.195121951
2020/2/2,«wÉr,296,1,0,50,0,0,295,0.204081633
2020/2/3,«wÉr,348,1,0,52,0,0,347,0.176271186
2020/2/4,«wÉr,384,2,0,36,1,0,382,0.103746398
2020/2/5,«wÉr,399,3,1,15,1,1,395,0.039267016
2020/2/6,«wÉr,443,6,1,44,3,0,436,0.111392405
2020/2/7,«wÉr,476,12,2,33,6,1,462,0.075688073
2020/2/8,«wÉr,493,23,4,17,11,2,466,0.036796537
2020/2/9,«wÉr,507,44,4,14,21,0,459,0.030042918
2020/2/10,«wÉr,515,51,5,8,7,1,459,0.017429194
2020/2/11,«wÉr,525,65,6,10,14,1,454,0.021786492
2020/2/12,«wÉr,532,84,7,7,19,1,441,0.015418502
2020/2/13,«wÉr,732,99,8,200,15,1,625,0.453514739
2020/2/14,«wÉr,804,127,8,72,28,0,669,0.1152
2020/2/15,«wÉr,816,152,8,12,25,0,656,0.01793722
2020/2/16,«wÉr,825,181,10,9,29,2,634,0.013719512
2020/2/17,«wÉr,832,204,10,7,23,0,618,0.011041009
2020/2/18,«wÉr,832,225,10,0,21,0,597,0
2020/2/19,«wÉr,834,268,10,2,43,0,556,0.003350084
2020/2/20,«wÉr,834,313,10,0,45,0,511,0
2020/2/21,«wÉr,836,358,11,2,45,1,467,0.003913894
2020/1/21,Á¸¶§,0,0,0,0,0,0,0,0
2020/1/22,Á¸¶§,0,0,0,0,0,0,0,0
2020/1/23,Á¸¶§,0,0,0,0,0,0,0,0
2020/1/24,Á¸¶§,0,0,0,0,0,0,0,0
2020/1/25,Á¸¶§,2,0,0,2,0,0,2,0
2020/1/26,Á¸¶§,36,0,0,34,0,0,36,17
2020/1/27,Á¸¶§,70,0,0,34,0,0,70,0.944444444
2020/1/28,Á¸¶§,131,0,0,61,0,0,131,0.871428571
2020/1/29,Á¸¶§,163,0,0,32,0,0,163,0.244274809
2020/1/30,Á¸¶§,286,0,0,123,0,0,286,0.754601227
2020/1/31,Á¸¶§,347,0,0,61,0,0,347,0.213286713
2020/2/1,Á¸¶§,441,0,0,94,0,0,441,0.270893372
2020/2/2,Á¸¶§,548,0,0,107,0,0,548,0.242630385
2020/2/3,Á¸¶§,632,1,1,84,1,1,630,0.153284672
2020/2/4,Á¸¶§,735,7,2,103,6,1,726,0.163492063
2020/2/5,Á¸¶§,787,10,2,52,3,0,775,0.071625344
2020/2/6,Á¸¶§,838,29,3,51,19,1,806,0.065806452
2020/2/7,Á¸¶§,907,31,5,69,2,2,871,0.08560794
2020/2/8,Á¸¶§,988,40,7,81,9,2,941,0.092996556
2020/2/9,Á¸¶§,1019,42,9,31,2,2,968,0.032943677
2020/2/10,Á¸¶§,1063,49,12,44,7,3,1002,0.045454545
2020/2/11,Á¸¶§,1088,60,12,25,11,0,1016,0.0249501
2020/2/12,Á¸¶§,1101,66,13,13,6,1,1022,0.012795276
2020/2/13,Á¸¶§,1111,73,16,10,7,3,1022,0.009784736
2020/2/14,Á¸¶§,1128,85,18,17,12,2,1025,0.016634051
2020/2/15,Á¸¶§,1144,114,19,16,29,1,1011,0.015609756
2020/2/16,Á¸¶§,1155,151,20,11,37,1,984,0.010880317
2020/2/17,Á¸¶§,1163,182,21,8,31,1,960,0.008130081
2020/2/18,Á¸¶§,1165,230,22,2,48,1,913,0.002083333
2020/2/19,Á¸¶§,1168,294,23,3,64,1,851,0.003285871
2020/2/20,Á¸¶§,1171,343,24,3,49,1,804,0.003525264
2020/2/21,Á¸¶§,1173,402,26,2,59,2,745,0.002487562
2020/1/21,§µ·P,0,0,0,0,0,0,0,0
2020/1/22,§µ·P,0,0,0,0,0,0,0,0
2020/1/23,§µ·P,22,0,0,22,0,0,22,0
2020/1/24,§µ·P,26,0,0,4,0,0,26,0.181818182
2020/1/25,§µ·P,55,0,0,29,0,0,55,1.115384615
2020/1/26,§µ·P,100,0,1,45,0,1,99,0.818181818
2020/1/27,§µ·P,173,0,1,73,0,0,172,0.737373737
2020/1/28,§µ·P,274,0,3,101,0,2,271,0.587209302
2020/1/29,§µ·P,399,0,6,125,0,3,393,0.461254613
2020/1/30,§µ·P,541,2,9,142,2,3,530,0.361323155
2020/1/31,§µ·P,628,2,12,87,0,3,614,0.164150943
2020/2/1,§µ·P,749,2,14,121,0,2,733,0.197068404
2020/2/2,§µ·P,918,2,14,169,0,0,902,0.230559345
2020/2/3,§µ·P,1120,4,17,202,2,3,1099,0.223946785
2020/2/4,§µ·P,1462,6,18,342,2,1,1438,0.311191993
2020/2/5,§µ·P,1886,9,25,424,3,7,1852,0.294853964
2020/2/6,§µ·P,2141,25,25,255,16,0,2091,0.137688985
2020/2/7,§µ·P,2313,38,26,172,13,1,2249,0.082257293
2020/2/8,§µ·P,2436,45,29,123,7,3,2362,0.054690974
2020/2/9,§µ·P,2541,81,33,105,36,4,2427,0.044453853
2020/2/10,§µ·P,2642,139,41,101,58,8,2462,0.041615163
2020/2/11,§µ·P,2751,179,45,109,40,4,2527,0.044272949
2020/2/12,§µ·P,2874,207,49,123,28,4,2618,0.048674317
2020/2/13,§µ·P,3009,255,57,135,48,8,2697,0.051566081
2020/2/14,§µ·P,3114,313,62,105,58,5,2739,0.038932147
2020/2/15,§µ·P,3201,353,65,87,40,3,2783,0.031763417
2020/2/16,§µ·P,3279,449,70,78,96,5,2760,0.028027309
2020/2/17,§µ·P,3320,523,75,41,74,5,2722,0.014855072
2020/2/18,§µ·P,3344,572,82,24,49,7,2690,0.008817046
2020/2/19,§µ·P,3410,673,89,66,101,7,2648,0.024535316
2020/2/20,§µ·P,3427,771,94,17,98,5,2562,0.00641994
2020/2/21,§µ·P,3429,917,98,2,146,4,2414,0.00078064
2020/1/21,©y©÷,0,0,0,0,0,0,0,0
2020/1/22,©y©÷,0,0,0,0,0,0,0,0
2020/1/23,©y©÷,1,0,1,1,0,1,0,0
2020/1/24,©y©÷,1,0,1,0,0,0,0,0
2020/1/25,©y©÷,20,0,1,19,0,0,19,0
2020/1/26,©y©÷,31,0,1,11,0,0,30,0.578947368
2020/1/27,©y©÷,51,0,1,20,0,0,50,0.666666667
2020/1/28,©y©÷,63,0,1,12,0,0,62,0.24
2020/1/29,©y©÷,117,0,1,54,0,0,116,0.870967742
2020/1/30,©y©÷,167,0,1,50,0,0,166,0.431034483
2020/1/31,©y©÷,276,0,1,109,0,0,275,0.656626506
2020/2/1,©y©÷,353,0,1,77,0,0,352,0.28
2020/2/2,©y©÷,392,1,1,39,1,0,390,0.110795455
2020/2/3,©y©÷,452,2,3,60,1,2,447,0.153846154
2020/2/4,©y©÷,496,9,4,44,7,1,483,0.098434004
2020/2/5,©y©÷,563,9,6,67,0,2,548,0.138716356
2020/2/6,©y©÷,610,11,7,47,2,1,592,0.085766423
2020/2/7,©y©÷,633,24,8,23,13,1,601,0.038851351
2020/2/8,©y©÷,711,36,8,78,12,0,667,0.129783694
2020/2/9,©y©÷,749,43,8,38,7,0,698,0.056971514
2020/2/10,©y©÷,772,52,8,23,9,0,712,0.032951289
2020/2/11,©y©÷,784,62,8,12,10,0,714,0.016853933
2020/2/12,©y©÷,810,72,11,26,10,3,727,0.036414566
2020/2/13,©y©÷,877,81,13,67,9,2,783,0.09215956
2020/2/14,©y©÷,895,92,15,18,11,2,788,0.022988506
2020/2/15,©y©÷,895,140,21,0,48,6,734,0
2020/2/16,©y©÷,895,156,24,0,16,3,715,0
2020/2/17,©y©÷,904,186,24,9,30,0,694,0.012587413
2020/2/18,©y©÷,907,208,25,3,22,1,674,0.004322767
2020/2/19,©y©÷,910,231,27,3,23,2,652,0.004451039
2020/2/20,©y©÷,914,250,28,4,19,1,636,0.006134969
2020/2/21,©y©÷,914,273,29,0,23,1,612,0
2020/1/21,Á`­p,375,28,9,0,0,0,338,0
2020/1/22,Á`­p,444,28,17,69,0,8,399,0.204142012
2020/1/23,Á`­p,549,31,24,105,3,7,494,0.263157895
2020/1/24,Á`­p,729,32,39,180,1,15,658,0.36437247
2020/1/25,Á`­p,1052,42,52,323,10,13,958,0.490881459
2020/1/26,Á`­p,1423,44,76,371,2,24,1303,0.387265136
2020/1/27,Á`­p,2714,47,100,1291,3,24,2567,0.990790483
2020/1/28,Á`­p,3554,80,125,840,33,25,3349,0.32723023
2020/1/29,Á`­p,4586,90,162,1032,10,37,4334,0.308151687
2020/1/30,Á`­p,5806,116,204,1220,26,42,5486,0.281495155
2020/1/31,Á`­p,7153,166,249,1347,50,45,6738,0.245534087
2020/2/1,Á`­p,9074,215,294,1921,49,45,8565,0.285099436
2020/2/2,Á`­p,11177,295,350,2103,80,56,10532,0.245534151
2020/2/3,Á`­p,13522,397,414,2345,102,64,12711,0.222654766
2020/2/4,Á`­p,16678,520,479,3156,123,65,15679,0.248288884
2020/2/5,Á`­p,19665,633,549,2987,113,70,18483,0.190509599
2020/2/6,Á`­p,22112,817,618,2447,184,69,20677,0.132391928
2020/2/7,Á`­p,24953,1115,699,2841,298,81,23139,0.137399042
2020/2/8,Á`­p,27066,1439,780,2113,324,81,24847,0.091317689
2020/2/9,Á`­p,29631,1795,871,2565,356,91,26965,0.103231778
2020/2/10,Á`­p,31728,2222,974,2097,427,103,28532,0.077767476
2020/2/11,Á`­p,33366,2639,1068,1638,417,94,29659,0.057409225
2020/2/12,Á`­p,47163,3171,1202,13797,532,134,42790,0.465187633
2020/2/13,Á`­p,51986,3861,1318,4823,690,116,46807,0.112713251
2020/2/14,Á`­p,54344,4774,1456,2358,913,138,48114,0.05037708
2020/2/15,Á`­p,56187,5623,1595,1843,849,139,48969,0.038304859
2020/2/16,Á`­p,58128,6639,1695,1941,1016,100,49794,0.039637322
2020/2/17,Á`­p,59936,7862,1788,1808,1223,93,50286,0.036309596
2020/2/18,Á`­p,61682,9128,1921,1746,1266,133,50633,0.034721394
2020/2/19,Á`­p,62457,10337,2029,775,1209,108,50091,0.015306223
2020/2/20,Á`­p,63088,11788,2144,631,1451,115,49516,0.012597073
2020/2/21,Á`­p,63454,13557,2250,366,1767,106,47647,0.00739155
